,doi,name,description
10,10.1016/j.jcis.2021.12.082,Constructing nickel cobaltate @nickel-manganese layered double hydroxide hybrid composite on carbon cloth for high-performance flexible supercapacitors,Flexible supercapacitors have received considerable interest owing to their potential application in wearable electronics. Designing subtle hybridization of active materials and constructing smart ele
11,10.1016/j.jhazmat.2021.126453,Nanoflakes-like nickel cobaltite as active electrode material for 4-nitrophenol reduction and supercapacitor applications,Catalytic reduction of nitroaromatic compounds present in wastewater by nanostructured materials is a promising process for wastewater treatment. A multifunctional electrode based on ternary spinal ni
12,10.1039/d0ra10948g,High mass loading flower-like MnO 2 on NiCo 2 O 4 deposited graphene/nickel foam as high-performance electrodes for asymmetric supercapacitors,The implementation of high mass loading MnO2 on electrochemical electrodes of supercapacitors is currently challenging due to the poor electrical conductivity and elongated electron/ion tra
13,10.1002/cssc.202101465,Nickel Cobaltite: A Positive Electrode Material for Hybrid Supercapacitors,The increased demand of energy due to the recent technological advances in diverse fields such as portable electronics and electric vehicles is often hindered by the poor capability of energy-storage 
14,10.1016/j.jcis.2020.07.062,Designing vertically aligned porous NiCo2O4@MnMoO4 Core@Shell nanostructures for high-performance asymmetric supercapacitors,NiCo2O4@MnMoO4 core@shell nanostructures are synthesized as electrode material using hydrothermal method for the fabrication of asymmetric supercapacitor (ASC) device.
15,10.1021/acsami.0c14478,Morphological Modulation of Conducting Polymer Nanocomposites with Nickel Cobaltite/Reduced Graphene Oxide and Their Subtle Effects on the Capacitive Behaviors,This work reports on the urchin-like architecture-based nickel cobaltite (NiCo2O4)/reduced graphene oxide (rGO)/conducting polymer [polyaniline (PANI) or polypyrrole (PPy)] nanoc
16,10.1088/1361-6528/ac2764,Rationally designed NiMn LDH@NiCo2O4 core–shell structures for high energy density supercapacitor and enzyme-free glucose sensor,Exploring high-efficiency and low-cost bifunctional electrodes for supercapacitors and sensors is significant but challenging. Most of the existing electrodes are mostly single-functional materials wi
17,10.1016/j.jcis.2020.12.057,Study of solvent variation on controlled synthesis of different nanostructured NiCo2O4 thin films for supercapacitive application,The present investigation deals with controlled synthesis of nanostructured NiCo2O4 thin films directly on stainless steel substrates by facile and economical chemical bath depos
18,10.1002/asia.202000324,Carbon Transition‐metal Oxide Electrodes: Understanding the Role of Surface Engineering for High Energy Density Supercapacitors,"Supercapacitors store electrical energy by ion adsorption at the interface of the electrode-electrolyte (electric double layer capacitance, EDLC) or through faradaic process involving direct transfer "
19,10.1016/j.jcis.2021.11.193,Facile synthesis of efficient construction of tungsten disulfide/iron cobaltite nanocomposite grown on nickel foam as a battery-type energy material for electrochemical supercapacitors with superior performance,"In this research literature, a tungsten disulfide/iron cobaltite (WS2/FeCo2O4) interwoven construction array was prepared by a simplistic hydrothermal approach on Ni f"
20,10.3390/ma15134499,Hydrothermal Synthesis of Binder-Free Metallic NiCo2O4 Nano-Needles Supported on Carbon Cloth as an Advanced Electrode for Supercapacitor Applications,It is of great significance to design electrochemical energy conversion and storage materials with excellent performance to fulfill the growing energy demand. Bimetallic cobalt/nickel-based electrode 
21,10.1016/j.jcis.2020.06.048,Core-shell nanowires of NiCo2O4@α-Co(OH)2 on Ni foam with enhanced performances for supercapacitors,"The composites of NiCo2O4 with unique structures are extensively explored as promising electrodes. In this work, core-shell structured nanowires anchored on nickel foam are synth"
22,10.1002/chem.202004002,Enhanced Energy Density of Coaxial Fiber Asymmetric Supercapacitor Based on MoS2@Fe2O3/Carbon Nanotube Paper and Ni(OH)2@NiCo2O4/Carbon Nanotube Fiber Electrodes,"Fiber supercapacitors are promising energy storage devices for potential application in wearable and miniaturized portable electronics, which currently suffer from difficulties in achieving high capac"
23,10.1088/1361-6528/ab97d6,High-performance asymmetric supercapacitor based hierarchical NiCo2O4@ carbon nanofibers//Activated multichannel carbon nanofibers,"Synthesis of rational nanostructure design of hybrid materials including uniformly growing, stable and highly porous structures have received a great deal of attention for many energy storage applicat"
24,10.1016/j.jcis.2022.08.033,Hierarchical core–shell-structured bimetallic nickel–cobalt phosphide nanoarrays coated with nickel sulfide for high-performance hybrid supercapacitors,"High-performance supercapacitors have attracted considerable interests due to their high-power density, fast charge/discharge process and long cycle life. However, the wide application of supercapacit"
25,10.1016/j.jcis.2022.07.020,3D hierarchical ZnCo2S4@Ni(OH)2 nanowire arrays with excellent flexible energy storage and electrocatalytic performance,"It is essential for energy storage and conversion systems to construct electrodes and electrocatalysts with superior performance. In this work, ZnCo2S4@Ni(OH)2 nanowir"
26,10.1021/acs.inorgchem.1c03088,Controllable Transformation of Metal–Organic Framework Nanosheets into Oxygen Vacancy Ni x Co3–x O4 Arrays for Ultrahigh-Capacitance Supercapacitors with Long Lifespan,The amino-functionalized bimetal NH2-NiCo-MOF nanosheet array is first fabricated on Ni foam substrates and then controllably transformed into oxygen vacancy bimetal oxide arrays by simply 
27,10.1016/j.jcis.2020.11.004,Three-dimensional hierarchical core-shell CuCo2O4@Co(OH)2 nanoflakes as high-performance electrode materials for flexible supercapacitors,Rational design of composite electrode materials with novel nanostructures plays an important role in improving both high energy density and structure stability of flexible and wearable supercapacitor
28,10.1039/d2dt00187j,MOF-derived hierarchical core–shell hollow Co 3 S 4 @NiCo 2 O 4 nanosheet arrays for asymmetric supercapacitors,"Transition metal sulfides (TMSs) have been widely explored as electrode materials for supercapacitors (SCs). Nevertheless, the application of TMSs alone is limited due to their lattice expansion and d"
29,10.1039/d1dt01419f,Controllable synthesis of ZIF-derived Ni x Co 3−x O 4 nanotube array hierarchical structures based on self-assembly for high-performance hybrid alkaline batteries,"In this study, a novel NixCo3-xO4 nanotube array hierarchical structure derived from zeolitic imidazolate frameworks (ZIFs) is grown on Ni foam (NixCo3-xO4 NAHS/Ni foam) using the template-assisted an"
30,10.1016/j.jcis.2021.04.036,In situ construction of multi-dimensional Co3O4/NiCo2O4 hierarchical flakes on self-supporting carbon substrate with ultra-high capacitance for hybrid supercapacitors,"Research on environmentally friendly energy storage devices is an important strategy to solve the energy crisis and environmental pollution. Herein, a novel self-supporting electrode based on multi-di"
31,10.1016/j.jcis.2021.03.131,Construction of hierarchical sea urchin-like manganese substituted nickel cobaltite@tricobalt tetraoxide core-shell microspheres on nickel foam as binder-free electrodes for high performance supercapacitors,"Construction of binder-free electrodes with hierarchical core-shell nanostructures is considered to be an effective route to promote the electrochemical performance of supercapacitors. In this work, t"
32,10.1016/j.jcis.2021.11.129,Embellishing hierarchical 3D core-shell nanosheet arrays of ZnFe2O4@NiMoO4 onto rGO-Ni foam as a binder-free electrode for asymmetric supercapacitors with excellent electrochemical performance,Tailoring hierarchical hybrid core-shell electrodes with impartial microstructural features and excellent electroactive constituents is crucial for the design of high-performance supercapacitors (SCs)
33,10.1002/tcr.202100294,Self‐Supported Transition Metal‐Based Nanoarrays for Efficient Energy Storage,Rechargeable batteries and supercapacitors are currently considered as promising electrochemical energy storage (EES) systems to address the energy and environment issues. Self-supported transition me
34,10.1021/acs.langmuir.0c03641,Fabrication of N‑Doped Reduced Graphite Oxide/MnCo2O4 Nanocomposites for Enhanced Microwave Absorption Performance,The present work reports on the fabrication of a lightweight microwave absorber comprising MnCo2O4 prepared from the urea complex of manganese (Mn)/cobalt (Co) and nitrogen-doped
35,10.1088/1361-6528/ac21eb,Carbon coating on metal oxide materials for electrochemical energy storage,"During the past decades, nano-structured metal oxide electrode materials have received growing attention due to their low development cost and high theoretical specific capacity, accordingly, quite a "
36,10.1016/j.jcis.2021.05.148,Nanostructured NiCo2S4@NiCo2O4-reduced graphene oxide as an efficient hydrogen evolution electrocatalyst in alkaline electrolyte,"Metal-organic frameworks (MOFs), serving as precursors or templated to construct nanomaterials, which have gained great attentions in the field of electrocatalysis. However, their applications still r"
37,10.3390/nano11040852,NiCo2O4/RGO Hybrid Nanostructures on Surface-Modified Ni Core for Flexible Wire-Shaped Supercapacitor,"In this work, we report surface-modified nickel (Ni) wire/NiCo2O4/reduced graphene oxide (Ni/NCO/RGO) electrodes fabricated by a combination of facile solvothermal and hydrotherm"
38,10.1038/s41598-020-70182-z,Textile-based supercapacitors for flexible and wearable electronic applications,Electronic textiles have garnered significant attention as smart technology for next-generation wearable electronic devices. The existing power sources lack compatibility with wearable devices due to 
39,10.1039/d0dt04011h,Construction of high-performance electrode materials of NiCo 2 O 4 nanoparticles encapsulated in ultrathin N-doped carbon nanosheets for supercapacitors,Highly dispersed nitrogen doped carbon (N-C) is decomposed by 2-methylimidazole (C4H6N2) and is used as a composite material with nickel cobaltite (NiCo2O
40,10.3390/ijms21093273,An Ultra-Sensitive Electrochemical Sensor for the Detection of Carcinogen Oxidative Stress 4-Nitroquinoline N-Oxide in Biologic Matrices Based on Hierarchical Spinel Structured NiCo2O4 and NiCo2S4; A Comparative Study,"Various factors leads to cancer; among them oxidative damage is believed to play an important role. Moreover, it is important to identify a method to detect the oxidative damage. Recently, electrochem"
41,10.1021/acsami.0c14426,Self-Chargeable Flexible Solid-State Supercapacitors for Wearable Electronics,"Flexible supercapacitors (SCs) always face the charging issue when they are used in some special situations (e.g., wilderness island) that cannot provide electricity, which would limit the continuous "
42,10.1038/s41598-020-75946-1,Supercapacitor performance of porous nickel cobaltite nanosheets,"In this work, nickel cobaltite (NiCo2O4) nanosheets with a porous structure were fabricated on nickel foam as a working electrode for supercapacitor applications. The nanosheets were fabricated by ele"
43,10.1021/acsami.1c05247,Wearable Helical Molybdenum Nitride Supercapacitors for Self-Powered Healthcare Smartsensors,"To meet the increasing demand for wearable sensing devices, flexible supercapacitors (SCs) as energy storage devices play significant roles in powering sensors/biosensors for healthcare monitoring. Be"
44,10.1016/j.jcis.2020.05.107,Hierarchical CoP@Ni(OH)2·0.75H2O core-shell nanosheet arrays on carbon cloth for high-performance supercapacitors,"The research on the structure tuning of CoP in supercapacitors has received extensive attention. However, low specific capacitance and energy density limit its further development. Here, we successful"
45,10.1016/j.jcis.2021.11.128,Well-designed sophisticated structure of sandwich-like CC@NiAl-LDH@GO@NiCo-LDH material with unique advantages for high performance and practicality hybrid quasi-solid-state supercapacitors,"A sandwich-like flexible architecture electrode material composed of NiAl-LDH nanoplates grown on carbon cloths (CC), coupled with GO interlayer and NiCo-LDH nanowire on the interlayer was successfull"
46,10.1039/d0dt02160a,Fabrication of NiCo 2 S 4 /carbon-filled nickel foam complex as an advanced binder-free electrode for supercapacitors,"A novel strategy, composed of epoxy-resin filling, carbonization, and hydrothermal growing of NiCo2S4 nanorods, was developed to enlarge the surface area of nickel foam (NF) for loading electrochemica"
47,10.1088/1361-6528/ac75fb,Mesoporous NiCo2S4 nanoflakes as an efficient and durable electrocatalyst for non-enzymatic detection of cholesterol,The detection of cholesterol is very crucial in clinical diagnosis for rapid and accurate monitoring of multiple disease-biomarkers. There is a great need for construction of a highly reliable and sta
48,10.1021/acs.langmuir.1c01999,Development of Three-Dimensional Nickel–Cobalt Oxide Nanoflowers for Superior Photocatalytic Degradation of Food Colorant Dyes: Catalyst Properties and Reaction Kinetic Study,"In this work, we present three-dimensional flower-like nickel-cobalt oxide (F-NCO) nanosheets developed in a facile, eco-friendly hydrothermal route to apply as photocatalysts for food colorant Allura"
49,10.1016/j.jcis.2021.02.011,MgCo2O4@NiMn layered double hydroxide core-shell nanocomposites on nickel foam as superior electrode for all-solid-state asymmetric supercapacitors,"In this work, MgCo2O4@NiMn layered double hydroxide (LDH) core-shell structured nanocomposites on Ni foam (NF) are synthesized by facile hydrothermal and calcination methods. MgC"
50,10.1039/d0dt04381h,A flexible hybrid capacitor based an NiCo 2 S 4 nanowire electrode with an ultrahigh capacitance,"It is well-known that the excellent cycling stability and high energy density of electrode materials is very important for supercapacitors. However, their actual performance falls far behind and does "
51,10.1039/d1dt02417e,"Multifunctionality exploration of NiCo 2 O 4 –rGO nanocomposites: photochemical water oxidation, methanol electro-oxidation and asymmetric supercapacitor applications",Different weight percentages of NiCo2O4-rGO nanocomposites were prepared via a facile hydrothermal method. The prepared nanocomposites were structurally and morphologicall
52,10.1016/j.jcis.2021.02.080,Beyond hierarchical mixed nickel-cobalt hydroxide and ferric oxide formation onto the green carbons for energy storage applications,"To attain superior energy density concurrently with high power density, high-performance supercapacitors have been developed. Herein an innovative strategy has been adopted to fabricate unique binder-"
53,10.1021/acsomega.9b04434,Hierarchical WS2@NiCo2O4 Core–shell Heterostructure Arrays Supported on Carbon Cloth as High-Performance Electrodes for Symmetric Flexible Supercapacitors,"Nowadays, rationally preparing heterostructure materials can not only make up for the shortage of individual components, but also exert unexpected performance through synergistic interactions between "
54,10.1088/1361-6528/ab76f4,Flexible 3D coreshell nanoforest arrays trimetal electrode for high capacitance supercapacitor,"A supercapacitor electrode with high capacitance is mainly based on the careful design of nanostructures and the intelligent hybridization of custom active materials. Herein, we designed 3D core-shell"
55,10.1021/acsomega.0c01315,Surfactant-Assisted Growth of a Conversion-Type Binary Metal Oxide-Based Composite Electrode for Boosting the Reversible Lithium Storage,"High-performance anode materials play a crucial role in paving the development of next-generation lithium-ion batteries (LIBs). NiCo2O4, as a typical binary metal oxide, has been"
56,10.1016/j.jcis.2020.10.032,Facile synthesis of NiO@Ni(OH)2-α-MoO3 nanocomposite for enhanced solid-state symmetric supercapacitor application,"Electrochemical supercapacitor fabrication using heterogeneous nanocomposite is one of the most promising pathways for energy storage technology. Herein, heterostructure based nickel-molybdenum (NiO@N"
57,10.1038/s41598-020-64867-8,Ultra-stable Mn1-xNixCO3 nano/sub-microspheres positive electrodes for high-performance solid-state asymmetric supercapacitors,"Long–term cycling performance of electrodes for application in supercapcitor has received large research interest in recent years. Ultra-stable Mn1-xNixCO3 (x-0, 0.20, 0.25 and 0.30) nano/sub-microsph"
58,10.1021/acs.langmuir.1c00737,Fabrication of Nanoflower-like MCoP (M = Fe and Ni) Composites for High-Performance Supercapacitors,"Elaborating the development of functional materials with excellent performance for supercapacitors is important in energy storage devices. In the present study, nanoflower-like MCoP (M = Ni and Fe) co"
59,10.1039/d0dt00263a,A unique core–shell structured ZnO/NiO heterojunction to improve the performance of supercapacitors produced using a chemical bath deposition approach,"The integration of metal oxide composite nanostructures has attracted great attention in supercapacitor (SC) applications. Herein, we fabricated a series of metal oxide composite nanostructures, inclu"
60,10.1021/acsnano.2c03500,Electrothermally Driven Nucleation Energy Control of Defective Carbon and Nickel–Cobalt Oxide-Based Electrodes,"Multielement metal/metal oxides/carbon-based support hybrids are promising candidates for high-performance electrodes. However, conventional solid-state synthesis utilizing slow heating-cooling rates "
61,10.1088/1361-6528/abfded,Enhanced electrochemical performance of MnNi2O4/rGO nanocomposite as pseudocapacitor electrode material and methanol electro-oxidation catalyst,"Binary transition metal oxides with encouraging electrocatalyst properties have been suggested as electrode materials for supercapacitors and methanol oxidation. Hence, in this work, a binary mixed me"
62,10.1039/d1nr00949d,Carbon nanocoils decorated with a porous NiCo 2 O 4 nanosheet array as a highly efficient electrode for supercapacitors,"Well-organized substrate materials are of considerable significance in the development of energy-efficient pseudocapacitor electrodes. Herein, functionalized three-dimensional (3D) carbon nanocoils on"
63,10.3390/nano10030584,Supercapacitor Performance of Nickel-Cobalt Sulfide Nanotubes Decorated Using Ni Co-Layered Double Hydroxide Nanosheets Grown in Situ on Ni Foam,"In this study, to fabricate a non-binder electrode, we grew nickel-cobalt sulfide (NCS) nanotubes (NTs) on a Ni foam substrate using a hydrothermal method through a two-step approach, namely in situ g"
64,10.1039/d1dt02066h,Recent advances in metal–organic framework-based electrode materials for supercapacitors,Exploring porous electrode materials with designed micro/nano-structures is an effective way to realize high-performance supercapacitors (SCs). A metal-organic framework (MOF) is a porous crystalline 
65,10.1021/acs.langmuir.1c02844,Ribbon-like Nickel Cobaltite with Layer-by-Layer-Assembled Ordered Nanocrystallites for Next-Generation All-Solid-State Hybrid Supercapatteries,"In the context to develop ultra-efficient electrode materials with good physicoelectrochemical and electrostructural properties, for their application in high-performance supercapatteries, herein, a f"
66,10.1039/d0ra09507a,In situ microwave-assisted solvothermal synthesis via morphological transformation of ZnCo 2 O 4 3D nanoflowers and nanopetals to 1D nanowires for hybrid supercapacitors,"Over recent decades, the conversion of energy and its storage have been in the lime light due to the depletion of fossil resources. The electrochemical energy storage devices like supercapacitors and "
67,10.3390/ma13214906,Nickel Cobaltite Functionalized Silver Doped Carbon Xerogels as Efficient Electrode Materials for High Performance Symmetric Supercapacitor,"Introducing new inexpensive materials for supercapacitors application with high energy density and stability, is the current research challenge. In this work, Silver doped carbon xerogels have been sy"
68,10.1016/j.jcis.2020.07.124,Nickel cobalt manganese ternary carbonate hydroxide nanoflakes branched on cobalt carbonate hydroxide nanowire arrays as novel electrode material for supercapacitors with outstanding performance,"In this work, for the first time we are reporting the development of a kind of high rate and long cycle life electrode composed of nickel cobalt manganese ternary carbonate hydroxide (NiCoMn-CH) ultra"
69,10.1039/d0dt00268b,Facile preparation of a highly efficient NiZn 2 O 4 –NiO nanoflower composite grown on Ni foam as an advanced battery-type electrode material for high-performance electrochemical supercapacitors,"The development of combined simple metal oxides and binary metal oxides on a flexible conductor has been needed as a novel approach for energy storage sources. Here, we demonstrate a simple and versat"
70,10.3390/ma13163531,Binary and Ternary 3D Nanobundles Metal Oxides Functionalized Carbon Xerogels as Electrocatalysts toward Oxygen Reduction Reaction,"A series of carbon xerogels doped with cobalt, nickel, and iron have been prepared through the sol-gel method. The doped carbon xerogels were further functionalized with binary and ternary transition "
71,10.1088/1361-6528/abc7d6,Improved chemical precipitation prepared rapidly NiCo2S4 with high specific capacitance for supercapacitors,"In this work, rapid chemical precipitation assisted annealing method is used to prepare flower-like NiCo2S4. And the flower-like structure after polyethylene glycol (PEG) modific"
72,10.1016/j.jenvman.2021.113484,Synthesis of novel Co3O4 nanocubes-NiO octahedral hybrids for electrochemical energy storage supercapacitors,Fabrication of novel metal oxide nanostructured composites is a proficient approach to develop efficient energy storage devices and development of cost-free and eco-friendly metal oxide nanostructures
73,10.3390/polym14132521,Facile Electrodeposition of NiCo2O4 Nanosheets on Porous Carbonized Wood for Wood-Derived Asymmetric Supercapacitors,"Multichannel-porous carbon derived from wood can serve as a conductive substrate for fast charge transfer and ion diffusion, supporting the high-theory capacitance of pseudocapacitive materials. Herei"
74,10.1088/1361-6528/abc112,A facile synthesis of CoMn2O4 nanosheets on reduced graphene oxide for non-enzymatic glucose sensing,A non-enzymatic sensor nanomaterial which is composed of ultra-thin scaly CoMn2O4 nanosheets grown on the surface of reduced graphene oxide sheets (CoMn2O4 
75,10.1016/j.jcis.2022.02.069,Urchin like inverse spinel manganese doped NiCo2O4 microspheres as high performances anode for lithium-ion batteries,"The ternary transition metal oxides are promising anode material for lithium-ion batteries (LIBs). However, their practical applications are greatly hindered by the poor conductivity and huge volume c"
76,10.1021/acsami.1c00137,Modish Designation of Hollow-Tubular rGO–NiMoO4@Ni–Co–S Hybrid Core–shell Electrodes with Multichannel Superconductive Pathways for High-Performance Asymmetric Supercapacitors,The scrupulous designation of hollow and porous electroactive materials incorporating prolific redox-active polyphase transition-metal oxide decorated with polyphase transition-metal sulfide onto rGO 
77,10.1016/j.jcis.2020.11.078,Novel synthesis of hierarchical NiGa2O4@MnO2 core-shell hetero-nanostructured nanowall arrays on carbon cloth for high-performance all-solid-state asymmetrical supercapacitors,A hierarchical NiGa2O4@MnO2 core-shell nanowall arrays have been grown on carbon cloth by stepwise design and fabrication. Ultrathin MnO2 nanoflakes are rev
78,10.1038/s41598-022-08691-2,High-performance freestanding supercapacitor electrode based on polypyrrole coated nickel cobalt sulfide nanostructures,"In the present work, we report the successful fabrication of dandelion-like Nickel–Cobalt Sulfide@Polypyrrole microspheres through the hydrothermal method and its possible application as a binder-free"
79,10.1016/j.jcis.2021.05.095,High-performance supercapacitor based on highly active P-doped one-dimension/two-dimension hierarchical NiCo2O4/NiMoO4 for efficient energy storage,"Multi-dimensional metal oxides have become a promising alternative electrode material for supercapacitors due to their inherent large surface area. Herein, P-doped NiCo2O4/NiMoO<"
80,10.1021/acsami.1c16287,Tuning the Nanoparticle Interfacial Properties and Stability of the Core–Shell Structure in Zn-Doped NiMoO4@AWO4,The ability to tune the interfacial region in core-shell nanocomposites with a surface reconstruction as a source for surface energy (de)stabilization is presented. We consider Zn-doped nickel molybda
81,10.1088/1361-6528/ac28d6,Magnetic enhancement of oxygen evolution reaction performance of NiCo-spinel oxides,Low-cost and high-efficiency transition metal oxide catalysts are desired for high-efficiency water splitting technology. An applying magnetic field (MF) enhancement method is presented to improve the
82,10.1016/j.jcis.2020.11.056,Synthesis of reduced graphene oxide supported nickel-cobalt-layered double hydroxide nanosheets for supercapacitors,"Supercapacitors are deemed as reliable power sources for portable devices and electric vehicles. Electrode materials with high energy and power densities are greatly needed. Herein, we designed reduce"
83,10.1039/d1dt04198c,Interfacially coupled thin sheet-like NiO/NiMoO 4 nanocomposites synthesized by a simple reflux method for excellent electrochemical performance,"Herein, hierarchical sheet-like assemblies of interfacially coupled NiO/NiMoO4 (NNMO) nanocomposites are prepared by a simple and cost-effective one-step aqueous reflux method followed by p"
84,10.1039/d0ra08560j,Zeolitic imidazolate framework (ZIF)-derived porous carbon materials for supercapacitors: an overview,The present analysis focuses on the synthetic methods used for the application of supercapacitors with various mysterious architectures derived from zeolitic imidazolate frameworks (ZIFs). ZIFs repres
85,10.1016/j.jcis.2021.05.019,Sodium oxalate-induced hydrothermal synthesis of wood-texture-column-like NiCo2O4 with broad bandwidth electromagnetic wave absorption performance,Single-component absorbent with wide-band absorption and strong attenuation capability is a challenge for efficient electromagnetic wave absorption. Morphology manipulation is an effective pathway to 
86,10.1016/j.jhazmat.2020.123103,"Efficient degradation of sulfamethoxazole by NiCo2O4 modified expanded graphite activated peroxymonosulfate: Characterization, mechanism and degradation intermediates",Expanded graphite (EG) immobilized nickel ferrite (NiCo2O4) was successfully constructed by a simple hydrothermal approach and applied for the degradation of sulfamethoxazole (SM
87,10.1021/acsomega.1c02139,Controllable Morphology of Sea-Urchin-like Nickel–Cobalt Carbonate Hydroxide as a Supercapacitor Electrode with Battery-like Behavior,Nickel-cobalt carbonate hydroxide with a three-dimensional (3D) sea-urchin-like structure was successfully developed by the hydrothermal process. The obtained structure enables the enhancement of char
88,10.1039/d0ra09524a,Marigold micro-flower like NiCo 2 O 4 grown on flexible stainless-steel mesh as an electrode for supercapacitors,"Nanostructured NiCo2O4 is a promising material for energy storage systems. Herein, we report the binder-free deposition of porous marigold micro-flower like NiCo2O"
89,10.1039/d1nr04668c,Regulation effects of Co 2+ on the construction of a Cu–Ni(OH) 2 @CoO nanoflower cluster heterojunction: a critical factor in obtaining a high-performance battery-type hybrid supercapacitor,Electrode materials with a hierarchical nanostructure derived from transition metal-based compounds is an important branch of energy storage materials and have attracted widespread attention in recent
90,10.1016/j.foodchem.2022.132398,Fabrication of platinum-doped NiCo2O4 nanograss modified electrode for determination of carbendazim,"In this study, a platinum-doped nickel cobaltite nanograss (Pt-doped NiCo2O4 NG) with its own unique structural features was initially synthesized, utilizing a simple hydrotherma"
91,10.1016/j.jcis.2022.03.069,Hierarchically nanostructured Zn0.76C0.24S@Co(OH)2 for high-performance hybrid supercapacitor,It is a great challenge to achieve both high specific capacity and high energy density of supercapacitors by designing and constructing hybrid electrode materials through a simple but effective proces
92,10.1088/1361-6528/ac3a3c,Hierarchical coral-like MnCo2O4.5@Co–Ni LDH composites on Ni foam as promising electrodes for high-performance supercapacitor,"Transition metal oxides are generally designed as hybrid nanostructures with high performance for supercapacitors by enjoying the advantages of various electroactive materials. In this paper, a conven"
93,10.1016/j.jcis.2022.02.027,Constructing interpenetrating structured NiCo2O4/HCNT composites with heterogeneous interfaces as low-thickness microwave absorber,"Low matching thickness, broad effective absorption bandwidth (EAB, RL < -10 dB) and excellent reflection loss (RL) are desirable properties for the advanced microwave absorption materials (MAMs). W"
94,10.1021/acsami.0c10638,ZnS–Ni7S6 Nanosheet Arrays Wrapped with Nanopetals of Ni(OH)2 as a Novel Core–Shell Electrode Material for Asymmetric Supercapacitors with High Energy Density and Cycling Stability Performance,"Supercapacitors possess minimum energy density, lower rate capability, and inferior long-term cycling stability performance, and these issues have restricted their practical applications. In these cir"
95,10.1016/j.jcis.2020.01.040,Boosting the performance of cobalt molybdate nanorods by introducing nanoflake-like cobalt boride to form a heterostructure for aqueous hybrid supercapacitors,"Binary transition metal oxides have received extensive attention because of their multiple oxidation states. However, due to the inherent vices of poor electronic/ionic conductivities, their practical"
96,10.1021/acs.langmuir.9b03362,n‑Butanol/Water Interface-Aided Physicochemical Tuning of Two-Dimensional Transition-Metal Oxides,"Herein, we report a facile regulation of the interface of two immiscible solvents, n-butanol and water, to achieve the physicochemical tuning of the transition-metal oxide nickel cobaltite. The"
97,10.1002/smll.202002806,True Meaning of Pseudocapacitors and Their Performance Metrics: Asymmetric versus Hybrid Supercapacitors,The development of pseudocapacitive materials for energy-oriented applications has stimulated considerable interest in recent years due to their high energy-storing capacity with high power outputs. N
